x,variable,value,L1,site,,,
17/09/1984,y,0.342,TM,As,,,
17/09/1984,y,0.375,TM,Sval1,,,70
17/09/1984,y,0.368,TM,Sval3,,,
17/09/1984,y,0.308,TM,Sval6,,,
17/09/1984,y,0.347,TM,Sval7,,,
17/09/1984,y,0.353,TM,Sval8,,,
17/09/1984,y,NA,TM,Sval9,,,
03/10/1984,y,0.405,TM,As,,,
03/10/1984,y,NA,TM,Reveg,,,
03/10/1984,y,0.36,TM,Sval1,,,
03/10/1984,y,0.355,TM,Sval3,,,
03/10/1984,y,0.313,TM,Sval6,,,
03/10/1984,y,0.342,TM,Sval7,,,
03/10/1984,y,0.314,TM,Sval8,,,
03/10/1984,y,0.32,TM,Sval9,,,
21/10/1984,y,NA,TM,As,,,
21/10/1984,y,NA,TM,Gs1,,,
21/10/1984,y,NA,TM,Gs2,,,
21/10/1984,y,NA,TM,Gs3,,,
21/10/1984,y,NA,TM,Gs4,,,
21/10/1984,y,NA,TM,Reveg,,,
21/10/1984,y,NA,TM,Sval1,,,
21/10/1984,y,NA,TM,Sval3,,,
21/10/1984,y,NA,TM,Sval6,,,
21/10/1984,y,NA,TM,Sval7,,,
21/10/1984,y,NA,TM,Sval8,,,
21/10/1984,y,NA,TM,Sval9,,,
21/03/1985,y,NA,TM,As,,,
21/03/1985,y,0.081,TM,Gs1,,,
21/03/1985,y,NA,TM,Gs2,,,
21/03/1985,y,NA,TM,Gs3,,,
21/03/1985,y,NA,TM,Gs4,,,
21/03/1985,y,0.109,TM,Reveg,,,
21/03/1985,y,NA,TM,Sval1,,,
21/03/1985,y,NA,TM,Sval3,,,
21/03/1985,y,NA,TM,Sval6,,,
21/03/1985,y,NA,TM,Sval7,,,
21/03/1985,y,NA,TM,Sval8,,,
21/03/1985,y,NA,TM,Sval9,,,
28/03/1985,y,NA,TM,As,,,
30/03/1985,y,NA,TM,As,,,
30/03/1985,y,NA,TM,Gs1,,,
30/03/1985,y,NA,TM,Gs2,,,
30/03/1985,y,NA,TM,Gs3,,,
30/03/1985,y,NA,TM,Gs4,,,
30/03/1985,y,NA,TM,Reveg,,,
30/03/1985,y,NA,TM,Sval1,,,
30/03/1985,y,NA,TM,Sval3,,,
30/03/1985,y,NA,TM,Sval6,,,
30/03/1985,y,NA,TM,Sval7,,,
30/03/1985,y,NA,TM,Sval8,,,
30/03/1985,y,NA,TM,Sval9,,,
13/04/1985,y,NA,TM,As,,,
22/04/1985,y,0.207,TM,As,,,
22/04/1985,y,0.134,TM,Gs1,,,
22/04/1985,y,0.122,TM,Gs2,,,
22/04/1985,y,0.138,TM,Gs3,,,
22/04/1985,y,0.13,TM,Gs4,,,
22/04/1985,y,0.147,TM,Reveg,,,
22/04/1985,y,0.187,TM,Sval1,,,
22/04/1985,y,0.135,TM,Sval3,,,
22/04/1985,y,0.097,TM,Sval6,,,
22/04/1985,y,0.1,TM,Sval7,,,
22/04/1985,y,NA,TM,Sval8,,,
22/04/1985,y,NA,TM,Sval9,,,
15/05/1985,y,0.333,TM,As,,,
15/05/1985,y,NA,TM,Gs1,,,
15/05/1985,y,NA,TM,Gs2,,,
15/05/1985,y,NA,TM,Gs3,,,
15/05/1985,y,NA,TM,Gs4,,,
15/05/1985,y,NA,TM,Reveg,,,
15/05/1985,y,0.299,TM,Sval1,,,
15/05/1985,y,0.302,TM,Sval3,,,
15/05/1985,y,0.233,TM,Sval6,,,
15/05/1985,y,0.267,TM,Sval7,,,
15/05/1985,y,0.241,TM,Sval8,,,
15/05/1985,y,0.244,TM,Sval9,,,
17/05/1985,y,0.321,TM,As,,,
17/05/1985,y,0.262,TM,Gs1,,,
17/05/1985,y,0.245,TM,Gs2,,,
17/05/1985,y,0.28,TM,Gs3,,,
17/05/1985,y,0.25,TM,Gs4,,,
17/05/1985,y,0.229,TM,Reveg,,,
17/05/1985,y,0.256,TM,Sval1,,,
17/05/1985,y,0.275,TM,Sval3,,,
17/05/1985,y,0.212,TM,Sval6,,,
17/05/1985,y,0.244,TM,Sval7,,,
17/05/1985,y,0.226,TM,Sval8,,,
17/05/1985,y,0.232,TM,Sval9,,,
31/05/1985,y,0.362,TM,As,,,
31/05/1985,y,NA,TM,Reveg,,,
31/05/1985,y,NA,TM,Sval1,,,
31/05/1985,y,NA,TM,Sval3,,,
31/05/1985,y,NA,TM,Sval6,,,
31/05/1985,y,NA,TM,Sval7,,,
31/05/1985,y,NA,TM,Sval8,,,
31/05/1985,y,NA,TM,Sval9,,,
16/06/1985,y,NA,TM,As,,,
16/06/1985,y,NA,TM,Reveg,,,
16/06/1985,y,NA,TM,Sval1,,,
16/06/1985,y,NA,TM,Sval3,,,
16/06/1985,y,NA,TM,Sval6,,,
16/06/1985,y,NA,TM,Sval7,,,
16/06/1985,y,NA,TM,Sval8,,,
16/06/1985,y,NA,TM,Sval9,,,
25/06/1985,y,0.418,TM,As,,,
25/06/1985,y,0.408,TM,Gs1,,,
25/06/1985,y,0.378,TM,Gs2,,,
25/06/1985,y,0.415,TM,Gs3,,,
25/06/1985,y,0.378,TM,Gs4,,,
25/06/1985,y,0.375,TM,Reveg,,,
25/06/1985,y,NA,TM,Sval1,,,
25/06/1985,y,0.377,TM,Sval3,,,
25/06/1985,y,0.38,TM,Sval6,,,
25/06/1985,y,NA,TM,Sval7,,,
25/06/1985,y,NA,TM,Sval8,,,
25/06/1985,y,NA,TM,Sval9,,,
02/07/1985,y,NA,TM,As,,,
04/07/1985,y,0.521,TM,As,,,
04/07/1985,y,0.423,TM,Gs1,,,
04/07/1985,y,0.39,TM,Gs2,,,
04/07/1985,y,0.417,TM,Gs3,,,
04/07/1985,y,0.373,TM,Gs4,,,
04/07/1985,y,0.407,TM,Reveg,,,
04/07/1985,y,0.426,TM,Sval1,,,
04/07/1985,y,0.456,TM,Sval3,,,
04/07/1985,y,0.406,TM,Sval6,,,
04/07/1985,y,0.441,TM,Sval7,,,
04/07/1985,y,0.445,TM,Sval8,,,
04/07/1985,y,0.432,TM,Sval9,,,
29/07/1985,y,0.404,TM,Gs1,,,
29/07/1985,y,0.397,TM,Gs2,,,
29/07/1985,y,0.403,TM,Gs3,,,
29/07/1985,y,0.366,TM,Gs4,,,
29/07/1985,y,NA,TM,Reveg,,,
05/08/1985,y,NA,TM,As,,,
05/08/1985,y,NA,TM,Gs1,,,
05/08/1985,y,NA,TM,Gs2,,,
05/08/1985,y,NA,TM,Gs3,,,
05/08/1985,y,NA,TM,Gs4,,,
05/08/1985,y,NA,TM,Reveg,,,
05/08/1985,y,NA,TM,Sval1,,,
05/08/1985,y,NA,TM,Sval3,,,
05/08/1985,y,NA,TM,Sval6,,,
05/08/1985,y,NA,TM,Sval7,,,
05/08/1985,y,NA,TM,Sval8,,,
05/08/1985,y,NA,TM,Sval9,,,
04/09/1985,y,NA,TM,As,,,
06/09/1985,y,NA,TM,As,,,
06/09/1985,y,NA,TM,Gs1,,,
06/09/1985,y,NA,TM,Gs2,,,
06/09/1985,y,NA,TM,Gs3,,,
06/09/1985,y,NA,TM,Gs4,,,
06/09/1985,y,NA,TM,Reveg,,,
06/09/1985,y,NA,TM,Sval1,,,
06/09/1985,y,NA,TM,Sval3,,,
06/09/1985,y,NA,TM,Sval6,,,
06/09/1985,y,NA,TM,Sval7,,,
06/09/1985,y,NA,TM,Sval8,,,
06/09/1985,y,NA,TM,Sval9,,,
13/09/1985,y,NA,TM,As,,,
13/09/1985,y,NA,TM,Gs1,,,
13/09/1985,y,NA,TM,Gs2,,,
13/09/1985,y,NA,TM,Gs3,,,
13/09/1985,y,NA,TM,Gs4,,,
13/09/1985,y,NA,TM,Reveg,,,
13/09/1985,y,NA,TM,Sval1,,,
13/09/1985,y,NA,TM,Sval3,,,
13/09/1985,y,0.358,TM,Sval6,,,
13/09/1985,y,0.393,TM,Sval7,,,
13/09/1985,y,0.283,TM,Sval8,,,
13/09/1985,y,NA,TM,Sval9,,,
15/09/1985,y,NA,TM,Gs1,,,
15/09/1985,y,NA,TM,Gs2,,,
15/09/1985,y,NA,TM,Gs3,,,
15/09/1985,y,NA,TM,Gs4,,,
15/09/1985,y,NA,TM,Reveg,,,
20/09/1985,y,NA,TM,As,,,
20/09/1985,y,NA,TM,Reveg,,,
20/09/1985,y,NA,TM,Sval1,,,
20/09/1985,y,NA,TM,Sval3,,,
20/09/1985,y,NA,TM,Sval6,,,
20/09/1985,y,NA,TM,Sval7,,,
20/09/1985,y,NA,TM,Sval8,,,
20/09/1985,y,NA,TM,Sval9,,,
22/09/1985,y,0.381,TM,As,,,
22/09/1985,y,NA,TM,Gs1,,,
22/09/1985,y,NA,TM,Gs2,,,
22/09/1985,y,NA,TM,Gs3,,,
22/09/1985,y,NA,TM,Gs4,,,
22/09/1985,y,NA,TM,Reveg,,,
22/09/1985,y,NA,TM,Sval1,,,
22/09/1985,y,NA,TM,Sval6,,,
06/10/1985,y,NA,TM,As,,,
06/10/1985,y,0.328,TM,Sval1,,,
06/10/1985,y,0.264,TM,Sval3,,,
06/10/1985,y,NA,TM,Sval6,,,
06/10/1985,y,NA,TM,Sval7,,,
06/10/1985,y,NA,TM,Sval8,,,
06/10/1985,y,NA,TM,Sval9,,,
20/05/1986,y,0.277,TM,As,,,
20/05/1986,y,0.232,TM,Gs1,,,
20/05/1986,y,0.215,TM,Gs2,,,
20/05/1986,y,0.239,TM,Gs3,,,
20/05/1986,y,0.204,TM,Gs4,,,
20/05/1986,y,0.237,TM,Reveg,,,
20/05/1986,y,0.286,TM,Sval1,,,
20/05/1986,y,0.263,TM,Sval3,,,
20/05/1986,y,0.137,TM,Sval6,,,
20/05/1986,y,0.176,TM,Sval7,,,
20/05/1986,y,0.147,TM,Sval8,,,
20/05/1986,y,0.139,TM,Sval9,,,
12/06/1986,y,NA,TM,As,,,
12/06/1986,y,NA,TM,Gs1,,,
12/06/1986,y,NA,TM,Gs2,,,
12/06/1986,y,NA,TM,Gs3,,,
12/06/1986,y,NA,TM,Gs4,,,
12/06/1986,y,NA,TM,Reveg,,,
12/06/1986,y,NA,TM,Sval1,,,
12/06/1986,y,NA,TM,Sval3,,,
12/06/1986,y,NA,TM,Sval6,,,
12/06/1986,y,NA,TM,Sval7,,,
12/06/1986,y,NA,TM,Sval8,,,
12/06/1986,y,NA,TM,Sval9,,,
21/06/1986,y,0.434,TM,As,,,
21/06/1986,y,0.382,TM,Gs1,,,
21/06/1986,y,0.363,TM,Gs2,,,
21/06/1986,y,0.392,TM,Gs3,,,
21/06/1986,y,0.364,TM,Gs4,,,
21/06/1986,y,0.343,TM,Reveg,,,
21/06/1986,y,0.392,TM,Sval1,,,
